iter	RMSE
0	7.684931174
1	7.475983105
2	7.268505425
3	7.072277681
4	6.873321748
5	6.687473239
6	6.503238087
7	6.326052199
8	6.156507607
9	5.987311464
10	5.821081416
11	5.661505304
12	5.507934424
13	5.359998695
14	5.212703194
15	5.074498747
16	4.940910263
17	4.807254707
18	4.678508788
19	4.551708479
20	4.425522192
21	4.311124349
22	4.196877147
23	4.085096768
24	3.974503776
25	3.867501843
26	3.764823162
27	3.669750848
28	3.572085552
29	3.475180819
30	3.387305645
31	3.296182491
32	3.20892721
33	3.124398303
34	3.042889587
35	2.965700665
36	2.888484236
37	2.813758993
38	2.741900468
39	2.672034371
40	2.603560174
41	2.539222694
42	2.476494792
43	2.41531331
44	2.355920281
45	2.299924326
46	2.242665449
47	2.188676157
48	2.138962577
49	2.090190464
50	2.040821792
51	1.993075212
52	1.946029438
53	1.902262335
54	1.861170435
55	1.82068225
56	1.781157383
57	1.741517396
58	1.703799098
59	1.666812113
60	1.633230149
61	1.598422033
62	1.565128797
63	1.533326432
64	1.502382757
65	1.473210768
66	1.444873863
67	1.425735626
68	1.4006036
69	1.375324103
70	1.350606952
71	1.326867777
72	1.305034985
73	1.283694185
74	1.26282951
75	1.244292421
76	1.225402455
77	1.206468498
78	1.188745905
79	1.171757266
80	1.156099015
81	1.140476327
82	1.125260176
83	1.111298932
84	1.097613243
85	1.085027179
86	1.072372312
87	1.060442575
88	1.048756256
89	1.038067138
90	1.027057727
91	1.017092111
92	1.007636315
93	0.9991285876
94	0.9903930361
95	0.9823619281
96	0.9744078361
97	0.9669663462
98	0.9600116344
99	0.9532431606
100	0.946471315
101	0.940518624
102	0.9346204287
103	0.9287483025
104	0.9233431615
105	0.9181300011
106	0.9132879585
107	0.9086931995
108	0.9043316168
109	0.8998315086
110	0.8956631551
111	0.891609686
112	0.8881052986
113	0.8845382978
114	0.8814716524
115	0.8784310953
116	0.8753493649
117	0.8726118784
118	0.8698398105
119	0.8672243235
120	0.8645534906
121	0.8623599778
122	0.8599716179
123	0.8578849435
124	0.8559001091
125	0.8541170043
126	0.8525985394
127	0.850900894
128	0.8491037025
129	0.8474027472
130	0.8460121625
131	0.8446410412
132	0.8434444277
133	0.8420305868
134	0.840690012
135	0.8399692767
136	0.8388157899
137	0.8376923436
138	0.836886057
139	0.8359069727
140	0.8350981405
141	0.834068519
142	0.8332630443
143	0.8324094239
144	0.8315753127
