iter	Passed	Remaining
399	31881	39851
400	31957	39767
401	32037	39688
402	32116	39607
403	32197	39529
404	32273	39445
405	32360	39375
406	32449	39306
407	32541	39240
408	32632	39174
409	32732	39118
410	32832	39062
411	32920	38992
412	33013	38928
413	33105	38863
414	33185	38783
415	33266	38704
416	33353	38632
417	33440	38561
418	33519	38479
419	33600	38401
420	33678	38318
421	33760	38240
422	33848	38169
423	33937	38099
424	34018	38020
425	34099	37942
426	34176	37857
427	34269	37792
428	34351	37714
429	34436	37639
430	34523	37567
431	34608	37492
432	34690	37414
433	34770	37334
434	34851	37255
435	34923	37166
436	35006	37088
437	35085	37008
438	35172	36935
439	35254	36856
440	35340	36783
441	35417	36699
442	35492	36614
443	35569	36530
444	35649	36450
445	35737	36378
446	35818	36299
447	35896	36216
448	35983	36144
449	36071	36071
450	36156	35996
451	36240	35919
452	36323	35842
453	36416	35774
454	36498	35696
455	36576	35614
456	36657	35534
457	36734	35450
458	36812	35369
459	36894	35290
460	36975	35210
461	37056	35131
462	37136	35051
463	37215	34969
464	37294	34888
465	37367	34801
466	37446	34719
467	37524	34638
468	37603	34556
469	37685	34478
470	37749	34383
471	37827	34301
472	37902	34216
473	37981	34135
474	38058	34052
475	38134	33968
476	38214	33888
477	38296	33810
478	38377	33730
479	38456	33649
480	38533	33566
481	38607	33481
482	38681	33395
483	38762	33316
484	38837	33232
485	38918	33152
486	38994	33069
487	39074	32988
488	39154	32909
489	39257	32848
490	39340	32770
491	39418	32688
492	39498	32608
493	39574	32524
494	39657	32447
495	39737	32366
496	39810	32281
497	39887	32198
498	39978	32126
499	40059	32047
500	40136	31964
501	40215	31884
502	40301	31808
503	40379	31726
504	40450	31639
505	40536	31564
506	40617	31484
507	40696	31403
508	40773	31321
509	40851	31239
510	40930	31158
511	41007	31076
512	41085	30994
513	41161	30910
514	41237	30828
515	41317	30747
516	41387	30660
517	41465	30579
518	41536	30492
519	41619	30413
520	41691	30328
521	41769	30247
522	41837	30158
523	41917	30077
524	41994	29996
525	42077	29918
526	42147	29831
527	42225	29749
528	42306	29670
529	42394	29596
530	42472	29514
531	42551	29433
532	42627	29351
533	42703	29268
534	42780	29186
535	42855	29103
536	42934	29022
537	43015	28943
538	43090	28860
539	43168	28779
540	43231	28687
541	43300	28600
542	43379	28520
543	43446	28431
544	43526	28352
545	43602	28269
546	43679	28188
547	43757	28106
548	43834	28025
549	43912	27944
550	43992	27864
551	44070	27783
552	44147	27701
553	44234	27626
554	44311	27544
555	44392	27465
556	44468	27383
557	44551	27305
558	44634	27227
559	44717	27149
560	44794	27068
561	44872	26987
562	44961	26913
563	45036	26830
564	45113	26748
565	45195	26669
566	45264	26584
567	45349	26507
568	45428	26426
569	45506	26346
570	45586	26265
571	45669	26188
572	45750	26108
573	45828	26028
574	45895	25941
575	45975	25861
576	46047	25777
577	46127	25697
578	46190	25608
579	46267	25527
580	46347	25447
581	46425	25366
582	46496	25282
583	46577	25203
584	46657	25123
585	46736	25042
586	46813	24962
587	46887	24878
588	46966	24798
589	47044	24718
590	47118	24635
591	47192	24552
592	47269	24471
593	47356	24395
594	47428	24311
595	47506	24231
596	47587	24152
597	47664	24071
598	47743	23991
599	47816	23908
600	47891	23826
601	47966	23744
602	48045	23664
603	48125	23584
604	48202	23503
605	48275	23420
606	48353	23340
607	48430	23259
608	48505	23177
609	48586	23098
610	48667	23019
611	48743	22938
612	48825	22859
613	48903	22779
614	48978	22697
615	49054	22616
616	49130	22534
617	49209	22454
618	49289	22375
619	49368	22295
620	49448	22216
621	49514	22130
622	49585	22046
623	49658	21964
624	49735	21883
625	49803	21798
626	49874	21715
627	49952	21635
628	50027	21554
629	50104	21473
630	50189	21396
631	50277	21320
632	50374	21248
633	50468	21174
634	50559	21099
635	50658	21027
636	50740	20949
637	50831	20874
638	50914	20796
639	50992	20715
640	51064	20632
641	51143	20553
642	51228	20475
643	51308	20395
644	51387	20315
645	51468	20236
646	51547	20157
647	51618	20073
648	51694	19992
649	51783	19916
650	51868	19839
651	51948	19759
652	52027	19679
653	52105	19599
654	52182	19518
655	52261	19438
656	52339	19358
657	52419	19278
658	52495	19197
659	52577	19119
660	52654	19038
661	52737	18960
662	52815	18879
663	52913	18806
664	53007	18731
665	53141	18671
666	53232	18595
667	53321	18518
668	53410	18442
669	53492	18362
670	53574	18283
671	53653	18203
672	53731	18123
673	53808	18042
674	53885	17961
675	53961	17880
676	54042	17801
677	54111	17717
678	54194	17639
679	54272	17558
680	54361	17481
681	54448	17404
682	54529	17324
683	54603	17243
684	54685	17164
685	54757	17081
686	54835	17001
687	54915	16921
688	55008	16845
689	55083	16764
690	55169	16686
691	55257	16609
692	55341	16530
693	55430	16453
694	55510	16373
695	55578	16290
696	55652	16208
697	55726	16127
698	55805	16046
699	55879	15965
700	55960	15886
701	56036	15805
702	56121	15726
703	56205	15648
704	56295	15571
705	56387	15494
706	56483	15419
707	56578	15343
708	56672	15267
709	56757	15188
710	56862	15115
711	56959	15039
712	57047	14961
713	57144	14886
714	57228	14807
715	57324	14731
716	57409	14652
717	57506	14576
718	57597	14499
719	57690	14422
720	57778	14344
721	57867	14266
722	57942	14185
723	58022	14104
724	58096	14023
725	58173	13942
726	58254	13862
727	58328	13781
728	58398	13698
729	58476	13617
730	58552	13536
731	58631	13456
732	58713	13376
733	58792	13296
734	58873	13216
735	58947	13134
736	59025	13054
737	59099	12973
738	59182	12893
739	59257	12812
740	59336	12732
741	59417	12652
742	59485	12569
743	59565	12489
744	59638	12407
745	59716	12327
746	59792	12246
747	59873	12166
748	59952	12086
749	60031	12006
750	60114	11926
751	60194	11846
752	60273	11766
753	60352	11686
754	60430	11605
755	60511	11525
756	60569	11441
757	60649	11361
758	60717	11279
759	60797	11199
760	60866	11117
761	60949	11038
762	61031	10958
763	61107	10877
764	61183	10797
765	61246	10714
766	61333	10635
767	61416	10556
768	61487	10474
769	61560	10393
770	61639	10313
771	61720	10233
772	61796	10152
773	61881	10073
774	61972	9995
775	62064	9917
776	62145	9837
777	62227	9758
778	62320	9680
779	62409	9601
780	62494	9522
781	62572	9441
782	62658	9362
783	62743	9283
784	62830	9204
785	62909	9124
786	62987	9043
787	63059	8962
788	63137	8882
789	63229	8804
790	63321	8725
791	63404	8646
792	63475	8564
793	63560	8485
794	63639	8405
795	63710	8324
796	63798	8245
797	63886	8165
798	63977	8087
799	64057	8007
800	64131	7926
801	64213	7846
802	64279	7764
803	64356	7684
804	64435	7604
805	64512	7523
806	64592	7443
807	64684	7365
808	64770	7285
809	64848	7205
810	64928	7125
811	65010	7045
812	65086	6964
813	65164	6884
814	65241	6804
815	65316	6723
816	65396	6643
817	65472	6563
818	65557	6483
819	65646	6404
820	65725	6324
821	65801	6243
822	65881	6163
823	65956	6083
824	66035	6003
825	66112	5922
826	66192	5842
827	66268	5762
828	66347	5682
829	66426	5602
830	66514	5522
831	66604	5443
